"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_TOOLTIP_TITLE_SEND_MSG","Send Message","Send Message","Send Message","Send Message","Отправить сообщение","Send Message","Send Message","Send Message","Send Message","Envoyer un message","Send Message","Send Message","Send Message","Send Message"
"VSTR_TOOLTIP_SEND_MSG","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Введите текст сообщения!","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Veuillez taper le message que vous souhaitez envoyer !","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!"
"VSTR_TOOLTIP_TITLE_BAN_PLAYER","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Забанить игроков","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Bannir le joueur","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)"
"VSTR_TOOLTIP_TITLE_RET_PLAYER","Return Player","Return Player","Return Player","Return Player","Вернуть игрока","Return Player","Return Player","Return Player","Return Player","Ramener le joueur","Return Player","Return Player","Return Player","Return Player"
"VSTR_TOOLTIP_BAN_PLAYER","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Вы уверены, что хотите заблокировать выбранных игроков? Примечание: вы можете отредактировать продолжительность бана позже, в меню менеджера банов.","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Êtes-vous sûr de vouloir bannir les joueurs sélectionnés ? Remarque : vous pouvez modifier la durée du bannissement ultérieurement dans le menu Gestion des Bannissements","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu"
"VSTR_TOOLTIP_RET_PLAYER","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Вы уверены, что хотите телепортировать выбранных игроков обратно?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Êtes-vous sûr de vouloir téléporter les joueurs sélectionnés ?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?"
"VSTR_NOTIFY_APPLY_HEALTH","Applying new Health value on","Applying new Health value on","Applying new Health value on","Applying new Health value on","Установить значение ХП на ","Applying new Health value on","Applying new Health value on","Applying new Health value on","Applying new Health value on","Application nouvelle valeur santé sur","Applying new Health value on","Applying new Health value on","Applying new Health value on","Applying new Health value on"
"VSTR_NOTIFY_APPLY_BLOOD","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Установить значение Кровь на ","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Application nouvelle valeur sang sur ","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on"
"VSTR_NOTIFY_APPLY_SHOCK","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Установить значение Шок на ","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Application nouvelle valeur choc sur ","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on"
"VSTR_NOTIFY_APPLY_WATER","Applying new Water value on","Applying new Water value on","Applying new Water value on","Applying new Water value on","Установить значение Вода на ","Applying new Water value on","Applying new Water value on","Applying new Water value on","Applying new Water value on","Application nouvelle valeur hydratation sur ","Applying new Water value on","Applying new Water value on","Applying new Water value on","Applying new Water value on"
"VSTR_NOTIFY_APPLY_ENERGY","Applying new Energy/Food value on","Applying new Energy/Food value on","Applying new Energy/Food value on","Applying new Energy/Food value on","Установить значение Энергия\Еда на ","Applying new Energy/Food value on","Applying new Energy/Food value on","Applying new Energy/Food value on","Applying new Energy/Food value on","Application nouvelle valeur énergie sur ","Applying new Energy/Food value on","Applying new Energy/Food value on","Applying new Energy/Food value on","Applying new Energy/Food value on"
